1032;2.0;27.0;
1101;1.0;71.92;
842;2.0;50.59;
856;2.0;19.83;
860;9.0;20.02;
861;6.0;22.72;
872;1.0;59.01;
873;2.0;7.65;
874;4.0;10.5;
876;2.0;18.47;
878;1.0;35.62;
884;2.0;25.8;
888;2.0;17.4;
891;2.0;188.8;
895;1.0;121.07;
900;1.0;67.15;
909;1.0;36.03;
911;1.0;17.25;
926;2.0;13.71;
957;1.0;31.94;
929;1.0;192.0;
931;1.0;11.46;
933;4.0;7.5;
972;2.0;12.6;
934;4.0;14.25;
942;20.0;11.13;
943;4.0;8.55;
953;2.0;25.9;
956;2.0;18.8;
1021;4.0;19.89;
961;9.0;5.55;
965;2.0;197.02;
968;2.0;39.15;
970;2.0;14.85;
971;1.0;22.48;
981;4.0;7.5;
982;4.0;13.4;
983;4.0;10.41;
984;4.0;13.82;
985;12.0;1.81;
986;13.0;2.93;
987;1.0;59.74;
988;2.0;24.78;
989;2.0;12.84;
990;1.0;23.5;
992;2.0;21.96;
993;1.0;148.46;
995;4.0;5.28;
1025;5.0;10.0;
1000;2.0;16.5;
1031;2.0;23.64;
1003;2.0;23.75;
2408;1.0;70.65;
1005;2.0;24.4;
1006;2.0;24.48;
1011;2.0;22.35;
1013;1.0;29.68;
3265;3.0;17.27;
1014;2.0;23.84;
3266;2.0;16.5;
1015;1.0;15.17;
1016;4.0;4.71;
1102;1.0;70.99;
1103;2.0;74.25;
1104;2.0;122.85;
1106;1.0;93.93;
1107;1.0;61.96;
1109;2.0;73.66;
1114;1.0;272.28;
4110;4.0;8.58;
1120;2.0;80.11;
1124;2.0;61.71;
1126;1.0;50.43;
1128;1.0;111.22;
1130;3.0;40.0;
1136;2.0;14.25;
1137;4.0;47.64;
1138;2.0;70.84;
2398;1.0;207.84;
2400;2.0;106.33;
2404;1.0;71.29;
3951;5.0;110.27;
3955;4.0;137.05;
3959;3.0;122.58;
3960;5.0;134.64;
3964;3.0;129.42;
3965;3.0;81.31;
3968;4.0;82.99;
4114;2.0;24.71;
3982;1.0;139.77;
4045;1.0;75.68;
4055;3.0;95.0;
4088;4.0;11.58;
4090;2.0;27.44;
4092;2.0;27.66;
4095;4.0;9.57;
4150;19.0;24.22;
4096;1.0;24.38;
4098;4.0;10.5;
4101;4.0;7.5;
4236;2.0;15.75;
4527;2.0;37.247;
4528;10.0;24.75;
1111;1.0;202.0;
1113;1.0;285.0;
1140;3.0;55.65;
1115;1.0;53.43;
1116;2.0;64.63;
1109;1.0;73.66;
1128;1.0;111.22;
